codigo_dane_fuente,municipio,aro_uesvalle,urbanas_averiadas,urbanas_destruidas,rurales_averiadas,rurales_destruidas,total_averiadas,total_destruidas,observaciones_vivienda,necesidades_vivienda,calidad_registro,fila_fuente
76001,Santiago de Cali,ARO Sur - Cali,,,,,0,0,"Se encuentran recopilando la información, todavía no tienen los datos del 100%",,,5
76020,Alcalá,ARO Norte - Cartago,59,,247,,306,0,"no hay una informacion discriminada del sector vivienda, informan: 306 Vivienda afectadas 
*47 prioritarias con afectaciones moderadas 
*Afectacion iglesia católica nuestra señora del perpetuo socorro -severo
*afectacion capilla la milagrosa-severo
*Cementerio local san Miguel arcángel - afectación severo 
*inst educ San José sede principal -moderado 
*inst educ San José sede María auxiliadora - moderado 
* inst educ San José sede marinzacena - moderado
* ⁠inst educ Arturo Gómez Jaramillo sede principal- moderado 
* ⁠inst educ Arturo Gómez Jaramillo sede santo Tomás 1 - moderado 
* ⁠inst Educ Arturo Gómez Jaramillo sede santo Tomás 2 - moderado
* ⁠hogar infantil vecinal risitas - moderado 
* ⁠centros de desarrollo infantil CDI - severo
* ⁠INTEI - moderado
* ⁠falta reporte sedes educativas rurales 
* ⁠cuerpo de bomberos voluntarios de Alcalá - moderado
* ⁠vías rurales y urbanas por presencia de escombros y deslizamientos 
* ⁠vías intermunicipales Alcala Cartago deslizamientos 
* ⁠vías interderpatamentales Alcalá Quimbaya deslizamientos 
* ⁠locales comerciales 
* ⁠casa de la cultura Lorenzo ángel maya - moderado 
* ⁠biblioteca municipal Gabriel García Márquez - severo 
* ⁠archivo central - moderado",,,6
76036,Andalucía,ARO Centro - Tuluá,,12,,,285,12,El municipio reporta global aun no cuentan con un censo discriminado. el reporte se encuentra asi: VIVIENDAS DESTRUIDAS 12 - VIVIENDAS 285,,,7
76041,Ansermanuevo,ARO Norte - Cartago,200,30,,,200,30,Sin informacion,,,8
76054,Argelia,ARO Norte - Cartago,,,,,0,0,Sin informacion,,,9
76100,Bolívar,ARO Centro - Tuluá,,,,,2500,0,"la nformacion del sector vivienda general, aun no han podido discriminar, Número aproximado de viviendas afectadas en todo el municipio = 2500
Numero de personas = 9328.
Numero de escuelas afectadas = 80% de las sedes afectadas 
Número de centros de salud = 2
Numero de personas lesionadas = 3
Numero de personas fallecidas = 0
Afectaciones viales deslizamientos sobre la vía bolivar  primavera grandes derrumbes, y daño del tubo madre del embalse Sara Brut",,,10
76109,Buenaventura,ARO Sur - Cali,5005,2145,,,5005,2145,"De manera preliminar, se reportan 7.150 viviendas afectadas en el Distrito de Buenaventura, de las cuales 2.145 presentan daños totales y 5.005 registran daños parciales; esto en zona urbana todavia no se tiene datos de la zora rural

Necesidad de materiales para atención de viviendas afectadas: En el marco de la atención a las viviendas afectadas, se identifica la necesidad de disponer de materiales de construcción para las labores de reparación, reforzamiento y recuperación de las viviendas, principalmente:

* Madera
* Cemento
* Tejas
* Varillas de acero
* Material de río (arena y grava)",,,11
76111,Guadalajara de Buga,ARO Centro - Tuluá,38,1,52,10,90,11,"Información preliminar
Corte 11 de agosto",,,12
76113,Bugalagrande,ARO Centro - Tuluá,,,,,1000,0,se reporta 1000 viviendas afectadas el municipio no cuenta con una información desglosada rural/urbano averiadas/destruidas. el censo continua en construccion.,Sin información,,13
76122,Caicedonia,ARO Centro - Tuluá,950,150,0,,950,150,"Daños principalmente en Estructuras, Cubiertas y Mamposteria","Reparación y/o reconstrucción de viviendas afectadas, incluyendo intervención de estructuras, cubiertas y mampostería, con el fin de garantizar condiciones adecuadas de seguridad y habitabilidad para las familias afectadas.",,14
76126,Calima (El Darién),ARO Centro - Tuluá,31,30,20,50,51,80,Recursos para mano de obra para pago de oficiales,,,15
76130,Candelaria,ARO Sur - Cali,53,0,48,0,101,0,"Se está haciendo la evaluación estructural de las viviendas para identificar el tipo de daño y poder brindar la ayuda acorde, de las viviendas identificadas 7nestan en riesgo inminente de clapso",,,16
76147,Cartago,ARO Norte - Cartago,92,,40,,132,0,"El reporte presentado es de carácter parcial, teniendo en cuenta que la información se encuentra en proceso de actualización permanente, conforme avanzan los censos y las verificaciones que se están realizando.",,,17
76233,Dagua,ARO Sur - Cali,88,38,260,57,348,95,"Insumos para demolicion
Reforzamiento estructural
Maquinaria amarilla:
- Volquetas
- Retro para remoción de escombros",,,18
76243,El Águila,ARO Norte - Cartago,100,50,250,70,350,120,"Viviendas colapsadas, se necesitan carpas para albergues, se necesitan materiales de cosntruccion",,,19
76246,El Cairo,ARO Norte - Cartago,168,14,72,6,240,20,Casi todas las viviendas afectadas,"Cobijas
Carpas
Alimentos no perecederos",,20
76248,El Cerrito,ARO Sur - Cali,20,0,7,0,27,0,ellos me dicen que requieren ladrillos pues la mayoria son muros colapsados solo 1 de techo,,,21
76250,El Dovio,ARO Norte - Cartago,120,5,,,120,5,120 viviendas afectadas y 5 viviendas colapsadas - verificaer informacion,,,22
76275,Florida,ARO Sur - Cali,14,0,8,0,22,0,"Instituciones Educativas — 16 sedes afectadas (6 instituciones)

Colegio Industrial (1 sede)
Colegio IDEBIC (8 sedes: principal, Villa Pinzón, Las Guacas, San Juanito, San Gil, San Isidro, Mirador y Primavera)
Colegio José María Córdoba (3 sedes: Cartagena de Indias, Gabriel García Márquez, Santo Domingo)
Atanasio Girardot (sede Bárbula, regional)
Colegio Las Américas (sedes Merceditas Forero y José Celestino Mutis)
Liceo Florida (sede principal)

Prioridad: todas las sedes rurales del IDEBIC (comunidad indígena) resultaron con daños, según confirmación directa de la Secretaría.

Infraestructura institucional / pública

Cárcel municipal
Capilla San Antonio
Concejo municipal",,,23
76306,Ginebra,ARO Sur - Cali,3,0,15,4,18,4,daños de techos y muros,,,24
76318,Guacarí,ARO Sur - Cali,25,5,26,6,51,11,Información preliminar,,,25
76364,Jamundí,ARO Sur - Cali,1127,4,44,7,1171,11,"- VISITA DE VERIFICACION EN ZONA URBANA Y RURAL
- LEVANTAMIENTO Y ACTUALIZACION DE CENSO FAMILIAS AFECTADAS
- CARACTERIZACION DE LAS NECESIDADES
- RECOLECCION DE AYUDA PARA HOGASRES DAGNIFICADOS",,,26
76377,La Cumbre,ARO Sur - Cali,23,29,111,193,134,222,"TOTAL EDIFICACIONES PUBLICAS AFECTADAS        10
TOTAL IGLESIAS         6
VIAS        3",,,27
76400,La Unión,ARO Norte - Cartago,207,275,32,5,239,280,Requerimos de ser posible el apoyo de maquinaria tenemos al rededor de 25 edificios que requieren demolición,,,28
76403,La Victoria,ARO Norte - Cartago,670,50,,,670,50,esperando reporte sectior rural,,,29
76497,Obando,ARO Norte - Cartago,80,60,105,51,185,111,"se requieren carpas, materiales de construccion ",,,30
76520,Palmira,ARO Sur - Cali,68,20,,,68,20,,,,31
76563,Pradera,ARO Sur - Cali,40,,20,,60,0,"Se reportan 60 viviendas averiadas, 40 urbanas y 20 rurales, con presencia principalmente de fisuras y agrietamientos en muros y elementos de cerramiento. No se registran viviendas destruidas. Se continúan recibiendo reportes de posibles viviendas afectadas, por lo que la información permanece en proceso de actualización y verificación técnica para determinar condiciones de seguridad y habitabilidad.",,,32
76606,Restrepo,ARO Centro - Tuluá,250,50,100,50,350,100,,,,33
76616,Riofrío,ARO Centro - Tuluá,120,,,480,120,480,,,,34
76622,Roldanillo,ARO Norte - Cartago,1017,235,,,1017,235,,,,35
76670,San Pedro,ARO Centro - Tuluá,250,,50,,250,,AUN NO SE TIENE EL REPORTE Destruidas,,,36
76736,Sevilla,ARO Centro - Tuluá,495,201,162,40,657,241,información preliminar 11-06,,,37
76823,Toro,ARO Norte - Cartago,150,210,255,104,405,314,"se requieres plasticos, guadua, puntillas, carpas, cobijas",,,38
76828,Trujillo,ARO Centro - Tuluá,249,52,287,68,536,120,,"Carpas
Elementos de primera necesidad
Materiales de construcción ",,39
76834,Tuluá,ARO Centro - Tuluá,944,69,259,20,1203,89,Información preliminar,,,40
76845,Ulloa,ARO Norte - Cartago,290,10,,,290,10,,,,41
76863,Versalles,ARO Norte - Cartago,35,42,,,35,42,,,,42
76869,Vijes,ARO Sur - Cali,55,27,70,35,125,62,"Buenas noches con un 65 % del municipio censado vamos asi:
ZONA URBANA: 
55 viviendas afectadas
3 pérdida total
24 estructural 
El resto daños parciales (paredes, techos)
ZONA RURAL 
70 viviendas afectadas 
9 pérdida total
9perdida Parcial 
17 estructural 
El resto daños parciales (paredes, techos)",,,43
76890,Yotoco,ARO Centro - Tuluá,457,141,,,457,141,(verificar  con Luisa),,,44
76892,Yumbo,ARO Sur - Cali,65,,35,,100,0,"s importante precisar que estas cifras se encuentran en proceso de evaluación y consolidación, por lo que el reporte aún no refleja el 100 % de las afectaciones identificadas.
El proceso de verificación y evaluación continúa, razón por la cual las cifras podrán presentar variaciones a medida que se avance en el levantamiento de la información.",,,45
76895,Zarzal,ARO Centro - Tuluá,700,50,100,60,800,110,"afectacion mayoritaria en Vallejuelo, se requieren Carpas, Plasticos, elementos de construccion",,,46
